fullname;manu;typ;
AWT Inc. AWT-26 / WC-86;AWT Inc.;
Greenstorm GS 21 S;Greenstorm;
WEG AGW 100;WEG;
HEAG HW1-780;HEAG;
HEAG HW3/S2500(90);HEAG;
HEAG HW3/S2500(97);HEAG;
HEAG HW3/S2500(103);HEAG;
HEAG HW3/S2500(110);HEAG;
Iskra AT5-1;Iskra;
Jacobs Wind Electric 31-20;Jacobs Wind Electric; 
Krogmann 15-50;Krogmann;
Kuriant KE 18/4EH;Kuriant ;
Lagerwey LW 52/750;Lagerwey;
Lagerwey LW 58/750;Lagerwey;
Lagerwey LW 72/2000;Lagerwey;
Leitwind LTW42 250;Leitwind;
Leitwind LTW77 800;Leitwind;
Leitwind LTW77 850;Leitwind;
Leitwind LTW77 1000;Leitwind;
Leitwind LTW77 1500;Leitwind;
Leitwind LTW80 800;Leitwind;
Leitwind LTW80 850;Leitwind;
Leitwind LTW80 1000;Leitwind;
Leitwind LTW80 1500;Leitwind;
Leitwind LTW80 1650;Leitwind;
Leitwind LTW80 1800;Leitwind;
Leitwind LTW86 1000;Leitwind;
Leitwind LTW86 1500;Leitwind;
Leitwind LTW90 950;Leitwind;
Leitwind LTW90 1000;Leitwind;
Leitwind LTW90 1500;Leitwind;
Leitwind LTW90 2000;Leitwind;
Leitwind LTW101 2000;Leitwind;
Leitwind LTW101 2500;Leitwind;
Leitwind LTW101 3000;Leitwind;
Leitwind LTW104 2000;Leitwind;
Leitwind LTW104 2500;Leitwind;
MAN Aeroman 11/11;MAN;
Micon M 530;Micon;
Mitsubishi MWT-250C;Mitsubishi;
Multibrid M5000;Multibrid;
NEG Micon NM 44/750;NEG Micon;
NEG Micon NM 48/750;NEG Micon;
NEG Micon NM 52/900;NEG Micon;
NEG Micon NM 54/950;NEG Micon;
NEG Micon NM 60/1000;NEG Micon;
NEG Micon NM 72C/1500;NEG Micon;
NEG Micon NM 72/1650;NEG Micon;
NEG Micon NM 82/1500;NEG Micon;
NEG Micon NM 82/1650;NEG Micon;
Nordex N27/150;Nordex;
Nordex N27/250;Nordex;
Nordex N29;Nordex;
Nordex N43;Nordex;
Nordex N50;Nordex;
Nordex N60;Nordex;
Nordex N62;Nordex;
Nordex N70;Nordex;
Nordex N77;Nordex;
Nordex N80 Alpha;Nordex;
Nordex N90 Beta;Nordex;
Nordex N90/2500;Nordex;
Nordex N100 Delta;Nordex;
Nordex N100 Gamma;Nordex;
Nordex N117 Delta;Nordex;
Nordex N117 Gamma;Nordex;
Nordex N117/3600 Delta;Nordex;
Nordex N131/3000 Delta;Nordex;
Nordex N131/3300 Delta;Nordex;
Nordex N131/3600 Delta;Nordex;
Nordtank NTK 150 ;Nordtank;
Nordtank NTK 200;Nordtank;
Nordtank NTK 400;Nordtank;
NPS Northern Power NPS 60-24;NPS Northern Power;
NPS Northern Power NPS 100C-24;NPS Northern Power;
Norwin 24 STALL 150;Norwin;
Norwin 29 STALL 225;Norwin;
Norwin 47 ASR 500;Norwin;
PowerWind PW56;PowerWind;
REpower 48/600;REpower;
S&G Engineering SG2500.131 DD;S&G Engineering;
S&G Engineering SG2700.100 DD;S&G Engineering;
S&G Engineering SG2700.116 DD;S&G Engineering;
SANY SE8220;SANY;
SANY SE8720;SANY;
SANY SE9315;SANY;
SANY SE9320;SANY;
SANY SE10015;SANY;
SANY SE10020;SANY;
SANY SE11520;SANY;
SANY SE11525;SANY;
SANY SE12120;SANY;
SANY SE12125;SANY;
SANY SE12130;SANY;
SANY SE12520;SANY;
SANY SE12525;SANY;
SANY SE12725;SANY;
SANY SE12730;SANY;
SANY SE13122;SANY;
SANY SE13125;SANY;
SANY SE13625;SANY;
SANY SE14525;SANY;
Senvion 3.0M122;Senvion;
Senvion 3.2M114;Senvion;
Senvion 3.2M122;Senvion;
Senvion 3.4M114;Senvion;
Senvion 3.4M140;Senvion;
Senvion MM100;Senvion;
Siemens SWT-2.3-113;Siemens;
Siemens SWT-3.15-142;Siemens;
Siemens SWT-3.2-113;Siemens;
Siemens SWT-3.3-130;Siemens;
Siemens SWT-3.3-130 LN;Siemens;
Siemens SWT-3.6-120 Onshore;Siemens;
Siemens SWT-3.6-130;Siemens;
Siva 250/50;Siva;
Südwind S-70;Südwind;
Südwind S-70 (special nacelle);Südwind;
Südwind S-77;Südwind;
Suzlon S.33-350;Suzlon;
Suzlon S.60-1000;Suzlon;
Suzlon S.62-1000;Suzlon;
Suzlon S.64-950;Suzlon;
Suzlon S.64-1000;Suzlon;
Suzlon S.64-1250;Suzlon;
Suzlon S.66-1250;Suzlon;
Suzlon S.88-2100;Suzlon;
Tacke TW 45;Tacke;
Tacke TW 80;Tacke;
Tacke TW 500;Tacke;
Tellus T-1780;Tellus;
Wind Turbine Company WTC 100;Wind Turbine Company;
TUGE 10 kW;TUGE;
TURBOWINDS T400-34;TURBOWINDS;
TURBOWINDS T600-48;TURBOWINDS;
Unison U54;Unison;
Vensys 77/1500;Vensys;
Vensys 82/1500;Vensys;
Vensys 100/2500;Vensys;
Vensys 109/2500;Vensys;
Vensys 112/2500;Vensys;
Vensys 120/3000;Vensys;
Venturicon 3.ZERO;Venturicon;
Vergnet GEV HP 1000/62;Vergnet;
Vergnet GEV MP C 200/30;Vergnet;
Vergnet GEV MP C 200/32;Vergnet;
Vergnet GEV MP R 275/32;Vergnet;
Vergnet GEV MP C 275/30;Vergnet;
Vestas V27;Vestas;
Vestas V29;Vestas;
Vestas V39;Vestas;
Vestas V42;Vestas;
Vestas V44;Vestas;
Vestas V47;Vestas;
Vestas V52;Vestas;
Vestas V66-1.65;Vestas;
Vestas V66-1.75;Vestas;
Vestas V80-1.8;Vestas;
Vestas V90;Vestas;
Vestas V90 Gridstreamer;Vestas;
Vestas V100-1.8;Vestas;
Vestas V112 Offshore;Vestas;
Vestas V112 Onshore;Vestas;
Vestas V112-3.3;Vestas;
Vestas V112-3.45;Vestas;
Vestas V117-3.3;Vestas;
Vestas V117-3.45;Vestas;
Vestas V126-3.0;Vestas;
Vestas V126-3.3;Vestas;
Vestas V126-3.45;Vestas;
Vestas V136-3.45;Vestas;
Vestas V164-8.0;Vestas;
W2E Wind to Energy W2E-93/2.0;W2E Wind to Energy;
W2E Wind to Energy W2E-100/2.5;W2E Wind to Energy;
W2E Wind to Energy W2E-100/2.0;W2E Wind to Energy;
W2E Wind to Energy W2E-110/2.5;W2E Wind to Energy;
W2E Wind to Energy W2E-120/3.5fc;W2E Wind to Energy;
W2E Wind to Energy W2E-120/3.2fc;W2E Wind to Energy;
W2E Wind to Energy W2E-120/3fc;W2E Wind to Energy;
W2E Wind to Energy W2E-138/3.0fc;W2E Wind to Energy;
W2E Wind to Energy W2E-145/3.0fc;W2E Wind to Energy;
W2E Wind to Energy W2E-151/4.8;W2E Wind to Energy;
W2E Wind to Energy W2E-151/4.5;W2E Wind to Energy;
W2E Wind to Energy W2E-151/4.8fc;W2E Wind to Energy;
W2E Wind to Energy W2E-155/4.5fc;W2E Wind to Energy;
W2E Wind to Energy W2E-165/5.2;W2E Wind to Energy;
W2E Wind to Energy W2E-171/8.0;W2E Wind to Energy;
W2E Wind to Energy W2E-172/5.5;W2E Wind to Energy;
W2E Wind to Energy W2E-185/6.0;W2E Wind to Energy;
W2E Wind to Energy W2E-215/9.0;W2E Wind to Energy;
WDRVM WD2.5-103;WDRVM;
Wincon W755/48;Wincon;
WEG Wind EnergyGroup WEG MS-3;WEG Wind EnergyGroup;
WESPA 200/29;WESPA;
WESPA 200/31;WESPA;
WESPA 500/47;WESPA;
WESPA 750/47;WESPA;
Wind World (India) ww-53;Wind World;
Wind World W2700;Wind World;
Windflow 45-500;Windflow;
Windflow 33-500;Windflow;
WindMaster / HMZ WM 300/25;WindMaster;
WindMaster / HMZ WM 600 VS45;WindMaster;
Windspot 7.5Kw;Windspot;
WinWinD WWD-1 D56;WinWinD;
WinWinD WWD-1 D60;WinWinD;
WinWinD WWD-1 D64;WinWinD;
